district,municipaly,year,week,count,yearly_max_diff,yearly_mean_diff,weekly_max_diff,weekly_mean_diff
Kufstein,Kirchbichl,2020,35,0,0,0,0,0
Kufstein,Kirchbichl,2020,36,1,0,0.0011094675,0,0.3333333333
Kufstein,Kirchbichl,2020,37,2,0,0.0075197239,0,0.5
Kufstein,Kirchbichl,2020,38,2,0,0.0075197239,0.6666666667,2
Kufstein,Kirchbichl,2020,39,1,0,0.0011094675,0,0
Kufstein,Kirchbichl,2020,40,2,0,0.0075197239,1,1.6666666667
Kufstein,Kirchbichl,2020,41,0,0,0,0,0
Kufstein,Kirchbichl,2020,42,0,0,0,0,0
Kufstein,Kirchbichl,2020,43,1,0,0.0011094675,0.3333333333,1
Kufstein,Kirchbichl,2020,44,5,0.0128205128,0.0267504931,1.5,1.8333333333
Kufstein,Kirchbichl,2020,45,0,0,0,0,0
Kufstein,Kirchbichl,2020,46,2,0,0.0075197239,0,0.0833333333
Kufstein,Kirchbichl,2020,47,1,0,0.0011094675,0,0.3333333333
Kufstein,Kirchbichl,2020,48,0,0,0,0,0
Kufstein,Kirchbichl,2020,49,2,0,0.0075197239,0.5,1.3333333333
Kufstein,Kirchbichl,2020,50,0,0,0,0,0
Kufstein,Kirchbichl,2020,51,2,0,0.0075197239,0.3333333333,1
Kufstein,Kirchbichl,2020,52,1,0,0.0011094675,0,0
Kufstein,Ebbs,2020,1,1,0,0.0055473373,0,0.6666666667
Kufstein,Ebbs,2020,2,0,0,0,0,0
Kufstein,Ebbs,2020,3,0,0,0,0,0
Kufstein,Ebbs,2020,4,3,0.0038461538,0.0247781065,1,3
Kufstein,Ebbs,2020,5,1,0,0.0055473373,0,0
Kufstein,Ebbs,2020,6,2,0,0.0151627219,0.6666666667,2
Kufstein,Ebbs,2020,7,0,0,0,0,0
Kufstein,Ebbs,2020,8,0,0,0,0,0
Kufstein,Ebbs,2020,9,0,0,0,0,0
Kufstein,Ebbs,2020,10,0,0,0,0,0
Kufstein,Ebbs,2020,11,1,0,0.0055473373,0,0.6666666667
Kufstein,Ebbs,2020,12,0,0,0,0,0
Kufstein,Ebbs,2020,13,1,0,0.0055473373,0,0
Kufstein,Ebbs,2020,14,2,0,0.0151627219,0.6666666667,2
Kufstein,Ebbs,2020,15,2,0,0.0151627219,1,1.6666666667
Kufstein,Ebbs,2020,16,1,0,0.0055473373,0.3333333333,1
Kufstein,Ebbs,2020,17,0,0,0,0,0
Kufstein,Ebbs,2020,18,0,0,0,0,0
Kufstein,Ebbs,2020,19,0,0,0,0,0
Kufstein,Ebbs,2020,20,1,0,0.0055473373,0,0.3333333333
Kufstein,Ebbs,2020,21,0,0,0,0,0
Kufstein,Ebbs,2020,22,1,0,0.0055473373,0,0.6666666667
Kufstein,Ebbs,2020,23,1,0,0.0055473373,0,0
Kufstein,Ebbs,2020,24,0,0,0,0,0
Kufstein,Ebbs,2020,25,0,0,0,0,0
Kufstein,Ebbs,2020,26,0,0,0,0,0
Kufstein,Ebbs,2020,27,5,0.0115384615,0.0440088757,1.6666666667,5
Kufstein,Ebbs,2020,28,1,0,0.0055473373,0.3333333333,1
Kufstein,Ebbs,2020,29,0,0,0,0,0
Kufstein,Ebbs,2020,30,0,0,0,0,0
Kufstein,Ebbs,2020,31,0,0,0,0,0
Kufstein,Ebbs,2020,32,2,0,0.0151627219,0.5,1.3333333333
Kufstein,Ebbs,2020,33,1,0,0.0055473373,0,0
Kufstein,Ebbs,2020,34,1,0,0.0055473373,0,0.1666666667
Kufstein,Ebbs,2020,35,0,0,0,0,0
Kufstein,Ebbs,2020,36,1,0,0.0055473373,0.3333333333,1
Kufstein,Ebbs,2020,37,0,0,0,0,0
Kufstein,Ebbs,2020,38,0,0,0,0,0
Kufstein,Ebbs,2020,39,1,0,0.0055473373,0.3333333333,1
Kufstein,Ebbs,2020,40,0,0,0,0,0
Kufstein,Ebbs,2020,41,1,0,0.0055473373,0,0.6666666667
Kufstein,Ebbs,2020,42,1,0,0.0055473373,0,0.6666666667
Kufstein,Ebbs,2020,43,1,0,0.0055473373,0,0.1666666667
Kufstein,Ebbs,2020,44,0,0,0,0,0
Kufstein,Ebbs,2020,45,0,0,0,0,0
Kufstein,Ebbs,2020,46,0,0,0,0,0
Kufstein,Ebbs,2020,47,0,0,0,0,0
Kufstein,Ebbs,2020,48,1,0,0.0055473373,0,0
Kufstein,Ebbs,2020,49,0,0,0,0,0
Kufstein,Ebbs,2020,50,1,0,0.0055473373,0.3333333333,1
Kufstein,Ebbs,2020,51,0,0,0,0,0
Kufstein,Ebbs,2020,52,1,0,0.0055473373,0,0.6666666667
Kufstein,Bad Häring,2020,1,0,0,0,0,0
Kufstein,Bad Häring,2020,2,0,0,0,0,0
Kufstein,Bad Häring,2020,3,0,0,0,0,0
Kufstein,Bad Häring,2020,4,0,0,0,0,0
Kufstein,Bad Häring,2020,5,1,0,0.004561144,0,0.6666666667
Kufstein,Bad Häring,2020,6,0,0,0,0,0
Kufstein,Bad Häring,2020,7,0,0,0,0,0
Kufstein,Bad Häring,2020,8,0,0,0,0,0
Kufstein,Bad Häring,2020,9,0,0,0,0,0
Kufstein,Bad Häring,2020,10,1,0,0.004561144,0,0.6666666667
Kufstein,Bad Häring,2020,11,0,0,0,0,0
Kufstein,Bad Häring,2020,12,0,0,0,0,0
Kufstein,Bad Häring,2020,13,0,0,0,0,0
Kufstein,Bad Häring,2020,14,0,0,0,0,0
Kufstein,Bad Häring,2020,15,0,0,0,0,0
Kufstein,Bad Häring,2020,16,1,0,0.004561144,0.3333333333,1
Kufstein,Bad Häring,2020,17,1,0,0.004561144,0,0.6666666667
Kufstein,Bad Häring,2020,18,0,0,0,0,0
Kufstein,Bad Häring,2020,19,0,0,0,0,0
Kufstein,Bad Häring,2020,20,0,0,0,0,0
Kufstein,Bad Häring,2020,21,0,0,0,0,0
Kufstein,Bad Häring,2020,22,0,0,0,0,0
Kufstein,Bad Häring,2020,23,0,0,0,0,0
Kufstein,Bad Häring,2020,24,0,0,0,0,0
Kufstein,Bad Häring,2020,25,1,0,0.004561144,0,0.1666666667
Kufstein,Bad Häring,2020,26,1,0,0.004561144,0.3333333333,1
Kufstein,Bad Häring,2020,27,0,0,0,0,0
Kufstein,Bad Häring,2020,28,1,0,0.004561144,0,0.6666666667
Kufstein,Bad Häring,2020,29,0,0,0,0,0
Kufstein,Bad Häring,2020,30,0,0,0,0,0
Kufstein,Bad Häring,2020,31,0,0,0,0,0
Kufstein,Bad Häring,2020,32,1,0,0.004561144,0,0.6666666667
Kufstein,Bad Häring,2020,33,3,0,0.0173816568,2,2.6666666667
Kufstein,Bad Häring,2020,34,0,0,0,0,0
Kufstein,Bad Häring,2020,35,2,0,0.0109714004,0.5,1.3333333333
Kufstein,Bad Häring,2020,36,0,0,0,0,0
Kufstein,Bad Häring,2020,37,0,0,0,0,0
Kufstein,Bad Häring,2020,38,1,0,0.004561144,0,0.6666666667
Kufstein,Bad Häring,2020,39,1,0,0.004561144,0,0.6666666667
Kufstein,Bad Häring,2020,40,1,0,0.004561144,0,0.6666666667
Kufstein,Bad Häring,2020,41,0,0,0,0,0
Kufstein,Bad Häring,2020,42,0,0,0,0,0
Kufstein,Bad Häring,2020,43,1,0,0.004561144,0.3333333333,1
Kufstein,Bad Häring,2020,44,0,0,0,0,0
Kufstein,Bad Häring,2020,45,1,0,0.004561144,0.3333333333,1
Kufstein,Bad Häring,2020,46,1,0,0.004561144,0,0.3333333333
Kufstein,Bad Häring,2020,47,3,0,0.0173816568,2,2.6666666667
Kufstein,Bad Häring,2020,48,2,0,0.0109714004,0,0.5
Kufstein,Bad Häring,2020,49,0,0,0,0,0
Kufstein,Bad Häring,2020,50,0,0,0,0,0
Kufstein,Bad Häring,2020,51,1,0,0.004561144,0,0.3333333333
Kufstein,Bad Häring,2020,52,1,0,0.004561144,0.3333333333,1
Kufstein,Münster,2020,1,0,0,0,0,0
Kufstein,Münster,2020,2,0,0,0,0,0
Kufstein,Münster,2020,3,0,0,0,0,0
Kufstein,Münster,2020,4,1,0,0.0035133136,0,0.6666666667
Kufstein,Münster,2020,5,0,0,0,0,0
Kufstein,Münster,2020,6,1,0,0.0035133136,0,0.6666666667
Kufstein,Münster,2020,7,0,0,0,0,0
Kufstein,Münster,2020,8,0,0,0,0,0
Kufstein,Münster,2020,9,1,0,0.0035133136,0,0.6666666667
Kufstein,Münster,2020,10,1,0,0.0035133136,0.3333333333,1
Kufstein,Münster,2020,11,0,0,0,0,0
Kufstein,Münster,2020,12,1,0,0.0035133136,0.3333333333,1
Kufstein,Münster,2020,13,0,0,0,0,0
Kufstein,Münster,2020,14,1,0,0.0035133136,0,0.3333333333
Kufstein,Münster,2020,15,1,0,0.0035133136,0,0
Kufstein,Münster,2020,16,0,0,0,0,0
Kufstein,Münster,2020,17,0,0,0,0,0
Kufstein,Münster,2020,18,0,0,0,0,0
Kufstein,Münster,2020,19,0,0,0,0,0
