string,municipaly
Krypta Jesuitenkirche,Innsbruck
FH Hötting Pfarrkirche,Innsbruck
MÜhlau,Innsbruck
Jesuitenkirche,Innsbruck
Kapelle SOKO Rum,Rum
Alter MilitärFH,Innsbruck
FH Hötting Alt,Innsbruck
10. JAHRTAG,SKIP
Absam/Hall in Tirol,Hall in Tirol
Evang. Auferstehungskirche,Innsbruck
Maria am Gestade,Innsbruck
FH  St. Nikolaus,Innsbruck
Hall i.T.,Hall in Tirol
Friedhof Hötting Städtisch,Innsbruck
Pfarrkirche Aldrans,Innsbruck
Innsbruck-Allerheiligen,Innsbruck
St. Paulus - Pradl,Innsbruck
Pfarrkiche St. Paulus,Innsbruck
Pfarrkirche Mühlau,Innsbruck
FH Pfunds,Pfunds
Hötting Alt,Innsbruck
St.Margarethen,Buch in Tirol
evangelische Christuskirche,Innsbruck
Pfarrkirche Kematen,Kematen in Tirol
Petrus Canisius,Innsbruck
Arzl bei Innsbruck,Innsbruck
Kufstein Kleinholz,Kufstein
Dom St. Jakob,Innsbruck
Pfarrkirche Radfeld,Radfeld
Kirche Pradl anschl. Verabschiedung im MIlitärfriedhof Innsbruck,Innsbruck
Hall in Tirol Klosterkirche Thurnfeld,Hall in Tirol
Allerheiligen,Innsbruck
In aller Stille,Innsbruck
Pfarrkirche und Friedhof Mühlau,Innsbruck
FH Vill,Innsbruck
Pfarrfriedhof Hötting,Innsbruck
Wilten,Innsbruck
Christuskirche,Innsbruck
FH Götzens,Götzens
Einsegnungshalle des Friedhofs Pradl,Innsbruck
FH Hatting,Hatting
St. Paulus,Innsbruck
Einsegnungshalle des Städtischen Westfriedhofes,Innsbruck
Stiftskirche Innsbruck-Wilten,Innsbruck
Fh Aldrans,Innsbruck
Hauskapelle des Wohnheimes Olympisches Dorf,Innsbruck
Einsegnungshalle des Wiltener Friedhofes,Innsbruck
Vodlers,Volders
unbekannt,Innsbruck
FH Reith b. Seefeld,Reith bei Seefeld
Pfarrkirche Kranebitten,Innsbruck
FH Aldrans,Innsbruck
FH Stubaital,Innsbruck
Einsegnungshalle am Städt. Westfriedhof,Innsbruck
Kufstein/Stadtfriedhof,Kufstein
Kufstein/Kleinholz,Kufstein
Belgrad,Innsbruck
FH Matrei,Innsbruck
FH Hötting städtisch,Innsbruck
Perchtoldsdorf,Kufstein
FH Buch bei Jenbach,Jenbach
Pf Maria am Gestade,Innsbruck
Schutzentelkirche,Innsbruck
FH Breitenwang,Breitenwang
FH Brixen im Thale,Brixen im Thale
1. Jahrestag,Innsbruck
FH Zirl,Zirl
FH Höttig,Innsbruck
FH in Arco,Innsbruck
PF Neu-Pradl,Innsbruck
Basilia Wilten,Innsbruck
Friedhof Amras,Innsbruck
FH Pradl musl. Teil,Innsbruck
FH Hötting alt,Innsbruck
Pf. St. Pius X,Innsbruck
Niederaudorf,Kufstein
FH Mieders,Innsbruck
Neuer FH Ampass,Innsbruck
Bregenz FH Mariahilf,Innsbruck
Pf. Dreiheiligen,Innsbruck
Pfarrzentrum Endach/Kufstein,Kufstein
FH Basilika Wilten,Innsbruck
FH Nauders,Nauders
FH Natters,Natters
Fh Hötting,Innsbruck
Friedhof Hötting Alt,Innsbruck
Bruneck,Innsbruck
FH  Mühlau,Innsbruck
Kufstein/ Stadtfriedhof,Kufstein
FH Purkersdorf,Innsbruck
Wien Zentralfriedhof,Kufstein
Fh Pradl,Innsbruck
Großgmain Salzburg,Kufstein
West FH,Innsbruck
Klosterfriedof,Innsbruck
FH Neustift,Innsbruck
FH Wien,Innsbruck
Klosterneuburg,Innsbruck
FH Innsbruck- Arzl,Innsbruck
FH Brennberg,Innsbruck
West,Innsbruck
Kufstein Stadtfriedhf,Kufstein
FH Fulpmes,Fulpmes
Bad Goisern,Innsbruck
FH Fritzens,Fritzens
FH-West,Innsbruck
Althausen Gertraud,Kufstein
Auferstehungskirche,Innsbruck
Abschied FH Pradl,Innsbruck
Militärfriedhof,Innsbruck
Abschied St. Nikolaus,Innsbruck
FH Jenbach,Jenbach
Mühlau Kirchenfriedhof,Innsbruck
FH  Pradl,Innsbruck
FH West Abschied,Innsbruck
Städt. West-FH,Innsbruck
Alten Höttinger FH,Innsbruck
FH St. Johann,St. Johann in Tirol
PF Pradl,Innsbruck
Bergfriedhof Kiefersfelden,Kufstein
Westfriedhof München,Kufstein
Amras,Innsbruck
Städtischer West FH,Innsbruck
Friedhof Niederndorf,Niederndorf
Friedhof Erl,Erl
Friedhof Innsbruck,Kufstein
Iasi Rumänien,Innsbruck
Militär FH,Innsbruck
PF Allerheiligen,Innsbruck
PF Hötting,Innsbruck
Kleinholzfriedhof Kufstein/Zell,Kufstein
Abschied Kirche Hall,Innsbruck
Friedhof Arzl,Innsbruck
Abschied Maria am Gestade,Innsbruck
Abschied Karlskriche Volders,Innsbruck
Städt.West. FH,Innsbruck
Pfarrkirche,Innsbruck
Innsbruck-Stadt,Innsbruck
Innsbruck-Land,Innsbruck
Landeck - Stanz,Stanz bei Landeck
Zams - Piller,Zams
Landeck - Fließerau,Fließ
Landeck - Grins,Grins
St. Anton,St. Anton am Arlberg
Zams-Bludenz,Zams
Strengen - Australien,Strengen
Prutz-Faggen,Prutz
Landeck-Grins,Grins
Kufstein - Zams,Zams
Fließ - Eichholz,Fließ
Stanz - Gallneukirchen bei Linz,Stanz bei Landeck
Grins - Klagenfurt,Grins
Zams - See,Zams
Feichten-Unterhäuser,Kaunertal
Gurnau - Landeck,Grins
St. Anton am Arlberg / Thörl-Steiermark,St. Anton am Arlberg
Zams - Wien,Zams
Landeck - Graf,Grins
Landeck - St. Anton am Arlberg,St. Anton am Arlberg
Feichten/Kaunertal,Kaunertal
Pfunds - Tösens,Pfunds
Fließerau,Fließ
Landeck-Zams,Zams
Landeck-Wien,Landeck
Schönegg-Tösens,Tösens
Landeck-Graf,Grins
Kaunertal - Feichten,Kaunertal
See-Feichten,Kaunertal
Compatsch - Samnaun,Spiss
St. Jakob am Arlberg / Innsbruck,St. Anton am Arlberg
Nauders - Linz,Nauders
Starkenbach-Landeck,Schönwies
Zams/Volders,Zams
Hausen vor der Höhe / D - Nauders,Nauders
Landeck-Rum,Landeck
Kaltenbrunn-Vergötschen,Kaunertal
Landeck-Perfuchsberg,Landeck
Klösterle-Grins,Grins
Obsaurs,Schönwies
